CMDLINE /home/mdzaja/installations/miniconda3/envs/mt/bin/python hp_opt.py
MEM 2077.066406 1702668313.9961
MEM 2077.902344 1702668314.0962
MEM 2078.421875 1702668314.1964
MEM 2079.234375 1702668314.2966
MEM 2079.902344 1702668314.3967
MEM 2080.648438 1702668314.4969
MEM 2081.164062 1702668314.5971
MEM 2081.164062 1702668314.6972
MEM 2083.914062 1702668314.7973
MEM 2083.976562 1702668314.8975
MEM 2084.992188 1702668314.9977
MEM 2085.648438 1702668315.0979
MEM 2085.902344 1702668315.1981
MEM 2086.480469 1702668315.2983
MEM 2087.308594 1702668315.3985
MEM 2087.820312 1702668315.4986
MEM 2088.714844 1702668315.5988
MEM 2089.382812 1702668315.6990
MEM 2089.964844 1702668315.7991
MEM 2090.804688 1702668315.8993
MEM 2090.824219 1702668315.9995
MEM 2091.796875 1702668316.0996
MEM 2092.335938 1702668316.1997
MEM 2092.867188 1702668316.2999
MEM 2093.746094 1702668316.4000
MEM 2093.945312 1702668316.5001
MEM 2094.906250 1702668316.6003
MEM 2095.468750 1702668316.7005
MEM 2095.980469 1702668316.8007
MEM 2096.261719 1702668316.9008
MEM 2097.097656 1702668317.0010
MEM 2097.351562 1702668317.1011
MEM 2098.320312 1702668317.2012
MEM 2098.890625 1702668317.3014
MEM 2099.410156 1702668317.4015
MEM 2100.242188 1702668317.5016
MEM 2100.242188 1702668317.6018
MEM 2101.210938 1702668317.7020
MEM 2101.781250 1702668317.8021
MEM 2102.292969 1702668317.9023
MEM 2103.097656 1702668318.0024
MEM 2103.402344 1702668318.1026
MEM 2103.917969 1702668318.2027
MEM 2104.488281 1702668318.3029
MEM 2105.007812 1702668318.4031
MEM 2105.406250 1702668318.5032
MEM 2105.894531 1702668318.6034
MEM 2106.785156 1702668318.7035
MEM 2108.589844 1702668318.8037
MEM 2109.785156 1702668318.9038
MEM 2110.191406 1702668319.0040
MEM 2110.589844 1702668319.1042
MEM 2111.023438 1702668319.2043
MEM 2112.378906 1702668319.3045
MEM 2114.441406 1702668319.4047
MEM 2114.898438 1702668319.5048
MEM 2115.300781 1702668319.6050
MEM 2115.718750 1702668319.7051
MEM 2116.128906 1702668319.8052
MEM 2117.488281 1702668319.9054
MEM 2119.550781 1702668320.0056
MEM 2119.960938 1702668320.1057
MEM 2120.355469 1702668320.2058
MEM 2120.769531 1702668320.3060
MEM 2121.175781 1702668320.4062
